Student	Test	Class	Scale	MResponse
3	Post	C-1	E	2.83333333333333
5	Post	C-2	E	3
6	Post	C-3	E	2
8	Post	C-2	E	3.66666666666667
9	Post	C-3	E	3.33333333333333
10	Post	C-3	E	2.16666666666667
12	Post	C-3	E	2.66666666666667
13	Post	C-3	E	2.83333333333333
14	Post	C-1	E	2.5
15	Post	C-3	E	2.33333333333333
16	Post	C-3	E	1.33333333333333
17	Post	C-1	E	3.33333333333333
18	Post	C-1	E	4
19	Post	C-1	E	2.66666666666667
20	Post	C-1	E	2.66666666666667
21	Post	C-3	E	4.5
22	Post	C-2	E	2.83333333333333
23	Post	C-1	E	2.66666666666667
24	Post	C-3	E	2.66666666666667
25	Post	C-1	E	3.5
26	Post	C-2	E	2.16666666666667
27	Post	C-1	E	2
28	Post	C-1	E	2.66666666666667
29	Post	C-1	E	3.33333333333333
30	Post	C-3	E	3
31	Post	C-2	E	1.5
32	Post	C-1	E	1.83333333333333
33	Post	C-2	E	2.16666666666667
35	Post	C-2	E	2.33333333333333
36	Post	C-1	E	2.66666666666667
37	Post	C-1	E	2.5
38	Post	C-2	E	3.16666666666667
39	Post	C-2	E	1.5
40	Post	C-3	E	2.33333333333333
41	Post	C-2	E	3.33333333333333
42	Post	C-2	E	2.16666666666667
43	Post	C-3	E	2.83333333333333
44	Post	C-2	E	3.16666666666667
45	Post	C-2	E	2.83333333333333
46	Post	C-3	E	2.66666666666667
47	Post	C-2	E	2.33333333333333
48	Post	C-3	E	2.66666666666667
49	Post	C-1	E	2.66666666666667
50	Post	C-2	E	2.5
51	Post	C-2	E	3
1	Pre	C-2	F	2.33333333333333
2	Pre	C-3	F	2
3	Pre	C-1	F	3
5	Pre	C-2	F	2.33333333333333
6	Pre	C-3	F	1.5
8	Pre	C-2	F	1.83333333333333
9	Pre	C-3	F	1.83333333333333
10	Pre	C-3	F	2.5
12	Pre	C-3	F	2.33333333333333
13	Pre	C-3	F	2.16666666666667
14	Pre	C-1	F	1.83333333333333
15	Pre	C-3	F	2.66666666666667
16	Pre	C-3	F	2.66666666666667
17	Pre	C-1	F	3
18	Pre	C-1	F	3.83333333333333
19	Pre	C-1	F	2.16666666666667
20	Pre	C-1	F	2.33333333333333
21	Pre	C-3	F	3
22	Pre	C-2	F	2.33333333333333
23	Pre	C-1	F	2.16666666666667
24	Pre	C-3	F	2.33333333333333
25	Pre	C-1	F	4
26	Pre	C-2	F	2.83333333333333
27	Pre	C-1	F	3
28	Pre	C-1	F	2
29	Pre	C-1	F	3.66666666666667
30	Pre	C-3	F	2.66666666666667
31	Pre	C-2	F	1
32	Pre	C-1	F	2.5
33	Pre	C-2	F	2.33333333333333
35	Pre	C-2	F	4.16666666666667
36	Pre	C-1	F	3.16666666666667
37	Pre	C-1	F	2.66666666666667
38	Pre	C-2	F	2.16666666666667
39	Pre	C-2	F	3.33333333333333
40	Pre	C-3	F	1.33333333333333
41	Pre	C-2	F	3.83333333333333
42	Pre	C-2	F	2.5
43	Pre	C-3	F	2.16666666666667
44	Pre	C-2	F	3
45	Pre	C-2	F	2.16666666666667
46	Pre	C-3	F	2.16666666666667
47	Pre	C-2	F	1.66666666666667
48	Pre	C-3	F	3
49	Pre	C-1	F	2.5
50	Pre	C-2	F	4.33333333333333
51	Pre	C-2	F	2.83333333333333
1	Post	C-2	F	2.33333333333333
2	Post	C-3	F	3.83333333333333
3	Post	C-1	F	3.16666666666667
5	Post	C-2	F	2.16666666666667
6	Post	C-3	F	2.5
8	Post	C-2	F	3.66666666666667
9	Post	C-3	F	3
10	Post	C-3	F	3.83333333333333
12	Post	C-3	F	2.33333333333333
13	Post	C-3	F	3.33333333333333
14	Post	C-1	F	2
15	Post	C-3	F	2.16666666666667
16	Post	C-3	F	2.5
17	Post	C-1	F	3
18	Post	C-1	F	4.16666666666667
19	Post	C-1	F	2.83333333333333
20	Post	C-1	F	2.33333333333333
21	Post	C-3	F	4.66666666666667
22	Post	C-2	F	3.16666666666667
23	Post	C-1	F	3.5
24	Post	C-3	F	2.66666666666667
25	Post	C-1	F	4.5
26	Post	C-2	F	2.66666666666667
27	Post	C-1	F	2.66666666666667
28	Post	C-1	F	2.33333333333333
29	Post	C-1	F	3.16666666666667
30	Post	C-3	F	3.5
31	Post	C-2	F	2.16666666666667
32	Post	C-1	F	2.33333333333333
33	Post	C-2	F	2.66666666666667
35	Post	C-2	F	1.66666666666667
36	Post	C-1	F	2
37	Post	C-1	F	3
38	Post	C-2	F	3
39	Post	C-2	F	2
40	Post	C-3	F	2.83333333333333
41	Post	C-2	F	3.5
42	Post	C-2	F	2.16666666666667
43	Post	C-3	F	3.66666666666667
44	Post	C-2	F	3.33333333333333
45	Post	C-2	F	3.33333333333333
46	Post	C-3	F	2.83333333333333
47	Post	C-2	F	2.66666666666667
48	Post	C-3	F	3.33333333333333
49	Post	C-1	F	3
50	Post	C-2	F	4.16666666666667
51	Post	C-2	F	3.66666666666667
